episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
280,1.0,113,136,23,0.1691,113.0,60.0,14.79,18.0,0.8217,1.8833,14.69,0.0,0.06,1158.09,60,0.532047,47924.197656,1.768633,-0.423465,0.7078,1.0,1.3956
281,1.0,120,140,20,0.1429,120.0,60.0,18.86,18.0,1.0476,2.0,18.76,0.0,0.06,1018.24,60,0.310594,38264.488672,1.768929,-0.291486,0.7944,1.0,1.3333
282,1.0,111,132,21,0.1591,111.0,60.0,15.64,18.0,0.8689,1.85,15.54,0.0,0.06,1158.56,60,2.400433,56988.053125,1.769366,-0.404185,0.9668,1.0,1.168
283,1.0,122,145,23,0.1586,122.0,60.0,17.25,18.0,0.9582,2.0333,17.15,0.0,0.06,1112.3,60,0.321263,53432.427344,1.770179,-0.471607,0.6709,1.0,1.4012
284,1.0,107,145,38,0.2621,107.0,60.0,4.06,18.0,0.2255,1.7833,3.96,0.0,0.06,336.67,60,0.636712,4804.218799,1.77098,-0.374475,0.5279,1.0,1.3216
285,1.0,109,145,36,0.2483,109.0,60.0,5.64,18.0,0.3132,1.8167,5.54,0.0,0.06,653.04,60,0.25881,11617.243555,1.77217,-0.497621,0.5046,1.0,1.3384
286,1.0,113,129,16,0.124,113.0,60.0,19.88,18.0,1.1047,1.8833,19.78,0.0,0.06,1021.93,60,0.533302,44149.730859,1.773081,-0.349173,0.6293,1.0,1.4182
287,1.0,134,170,36,0.2118,134.0,60.0,11.82,18.0,0.6569,2.2333,11.72,0.0,0.06,666.31,60,0.199545,20848.250391,1.77364,-0.336296,0.5804,1.0,1.3267
288,1.0,127,150,23,0.1533,127.0,60.0,18.63,18.0,1.0348,2.1167,18.53,0.0,0.06,1390.95,60,0.518354,81383.251562,1.773999,-0.560586,0.8396,1.0,1.2983
289,1.0,99,121,22,0.1818,99.0,60.0,11.7,18.0,0.65,1.65,11.6,0.0,0.06,928.0,60,0.401064,33274.326953,1.774293,-0.380011,0.9563,1.0,1.3252
