episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
191,1.0,127,144,17,0.1181,127.0,60.0,23.11,18.0,1.2837,2.1167,23.01,2.091,0.06,1374.74,60,3.902287,80975.274219,1.692273,-0.453876,0.6797,1.0,1.3305
192,1.0,126,143,17,0.1189,126.0,60.0,22.82,18.0,1.2678,2.1,22.72,2.0969,0.06,1238.14,60,0.184888,62250.934375,1.69304,-0.340957,0.5336,1.0,1.3758
193,1.0,117,143,26,0.1818,117.0,60.0,13.83,18.0,0.7682,1.95,13.73,2.1091,0.06,1111.04,60,0.836611,51511.308594,1.693638,-0.506309,0.9242,1.0,1.2595
194,1.0,130,164,34,0.2073,130.0,60.0,12.05,18.0,0.6694,2.1667,11.95,2.1238,0.06,774.83,60,1.657137,24427.271484,1.694536,-0.54731,0.9896,1.0,1.2454
195,1.0,119,140,21,0.15,119.0,60.0,17.85,18.0,0.9917,1.9833,17.75,2.1328,0.06,1226.19,60,0.354054,54795.301953,1.695916,-0.439686,0.5934,1.0,1.4769
196,1.0,128,150,22,0.1467,128.0,60.0,19.63,18.0,1.0904,2.1333,19.53,2.1415,0.06,897.55,60,0.586511,33569.361719,1.696789,-0.43592,0.5176,1.0,1.3226
197,1.0,110,124,14,0.1129,110.0,60.0,20.58,18.0,1.1434,1.8333,20.48,2.1468,0.06,1777.81,60,0.995907,146706.982812,1.697438,-0.59838,0.9637,1.0,1.3017
198,1.0,100,130,30,0.2308,100.0,60.0,6.92,18.0,0.3846,1.6667,6.82,2.1639,0.06,541.03,60,0.367162,13205.607715,1.698096,-0.377852,0.7041,1.0,1.2194
199,1.0,112,145,33,0.2276,112.0,60.0,8.11,18.0,0.4506,1.8667,8.01,2.1806,0.06,43.82,60,0.44332,260.721713,1.70265,-0.511225,0.8923,1.0,1.3741
200,1.0,124,147,23,0.1565,124.0,60.0,17.8,18.0,0.9888,2.0667,17.7,2.1903,0.06,1207.95,60,0.436613,70620.525781,1.71422,-0.341184,0.7834,1.0,1.3378
201,1.0,119,141,22,0.156,119.0,60.0,17.13,18.0,0.9518,1.9833,17.03,2.1999,0.06,900.14,60,0.333823,29147.205859,1.72,-0.407066,0.6626,1.0,1.4628
202,1.0,132,147,15,0.102,132.0,60.0,26.13,18.0,1.4517,2.2,26.03,2.2041,0.06,1122.44,60,0.647569,54174.426953,1.722206,-0.439255,0.869,1.0,1.274
203,1.0,120,149,29,0.1946,120.0,60.0,12.64,18.0,0.7025,2.0,12.54,2.2175,0.06,761.52,60,1.461995,23630.007031,1.723267,-0.508773,0.7671,1.0,1.4037
204,1.0,125,158,33,0.2089,125.0,60.0,11.39,18.0,0.6329,2.0833,11.29,2.2324,0.06,1404.81,60,0.393167,80025.821875,1.724133,-0.251922,0.9276,1.0,1.3716
205,1.0,109,136,27,0.1985,109.0,60.0,11.06,18.0,0.6145,1.8167,10.96,2.2463,0.06,1074.15,60,0.80959,44485.578125,1.724738,-0.354629,0.9879,1.0,1.4534
206,1.0,119,146,27,0.1849,119.0,60.0,13.69,18.0,0.7607,1.9833,13.59,2.2588,0.06,943.51,60,0.410531,37636.461719,1.725252,-0.405584,0.8987,1.0,1.2435
207,1.0,108,130,22,0.1692,108.0,60.0,14.12,18.0,0.7846,1.8,14.02,2.2697,0.06,872.57,60,0.671268,30662.171289,1.725735,-0.453686,0.5267,1.0,1.4039
208,1.0,106,129,23,0.1783,106.0,60.0,12.9,18.0,0.7167,1.7667,12.8,2.2815,0.06,735.24,60,0.336346,27226.211328,1.726201,-0.278844,0.8697,1.0,1.3654
209,1.0,117,141,24,0.1702,117.0,60.0,15.19,18.0,0.8436,1.95,15.09,2.2925,0.06,1067.27,60,0.09503,39218.058203,1.726568,-0.292079,0.6517,1.0,1.2795
210,1.0,118,139,21,0.1511,118.0,60.0,17.57,18.0,0.9763,1.9667,17.47,2.3017,0.06,1572.33,60,10.805316,101944.728125,1.727105,-0.413555,0.7909,1.0,1.3784
211,1.0,119,138,19,0.1377,119.0,60.0,19.32,18.0,1.0731,1.9833,19.22,2.3094,0.06,1278.92,60,0.792744,72476.925,1.728299,-0.351163,0.9048,1.0,1.3532
212,1.0,130,157,27,0.172,130.0,60.0,16.64,18.0,0.9246,2.1667,16.54,2.3206,0.06,1100.55,60,0.406455,50985.027734,1.729117,-0.391996,0.9967,1.0,1.3871
