episode,time_h,completed,attempts,errors,err_rate,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,err_target,episode_reward,episode_steps,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
124,1.0,111,129,18,0.1395,111.0,60.0,17.81,18.0,0.9895,1.85,17.71,1.2389,0.06,579.75,60,0.758603,22380.491406,1.567119,-0.396748,0.0,1.0,1.3068
125,1.0,113,156,43,0.2756,113.0,60.0,2.75,18.0,0.1529,1.8833,2.65,1.2604,0.06,207.32,60,-0.016887,829.948444,1.568545,-0.350333,0.0,1.0,1.4024
126,1.0,122,145,23,0.1586,122.0,60.0,17.25,18.0,0.9582,2.0333,17.15,1.2703,0.06,700.45,60,0.346531,27155.147461,1.571785,-0.37427,0.0,1.0,1.2386
127,1.0,100,128,28,0.2188,100.0,60.0,8.12,18.0,0.4514,1.6667,8.03,1.2862,0.06,733.95,60,0.388466,17540.823047,1.573651,-0.531214,0.0,1.0,1.4995
128,1.0,124,151,27,0.1788,124.0,60.0,15.03,18.0,0.8349,2.0667,14.93,1.298,0.06,466.63,60,0.487679,13762.30625,1.574695,-0.367914,0.0,1.0,1.3259
129,1.0,106,127,21,0.1654,106.0,60.0,14.27,18.0,0.7929,1.7667,14.17,1.3086,0.06,963.22,60,0.162857,36775.655469,1.575418,-0.511182,0.0,1.0,1.3568
130,1.0,116,139,23,0.1655,116.0,60.0,15.61,18.0,0.867,1.9333,15.51,1.3191,0.06,836.2,60,0.6397,30851.602344,1.575946,-0.528578,0.0,1.0,1.3801
131,1.0,104,122,18,0.1475,104.0,60.0,15.86,18.0,0.8809,1.7333,15.76,1.3279,0.06,889.64,60,0.322502,30859.941406,1.576456,-0.361855,0.0,1.0,1.4027
132,1.0,111,139,28,0.2014,111.0,60.0,10.94,18.0,0.6078,1.85,10.84,1.342,0.06,700.1,60,8.861732,23030.180078,1.577564,-0.686186,0.0,1.0,1.3225
133,1.0,116,138,22,0.1594,116.0,60.0,16.31,18.0,0.906,1.9333,16.21,1.352,0.06,629.39,60,0.327942,20190.334961,1.580155,-0.285983,0.0,1.0,1.3559
134,1.0,127,149,22,0.1477,127.0,60.0,19.35,18.0,1.0749,2.1167,19.25,1.3607,0.06,1303.28,60,0.223336,63034.404688,1.581644,-0.345319,0.0,1.0,1.448
135,1.0,111,132,21,0.1591,111.0,60.0,15.64,18.0,0.8689,1.85,15.54,1.3706,0.06,888.62,60,0.310753,35329.487891,1.582307,-0.387899,0.0,1.0,1.4122
136,1.0,101,122,21,0.1721,101.0,60.0,12.91,18.0,0.7175,1.6833,12.81,1.3819,0.06,756.38,60,1.310312,26144.551758,1.582851,-0.579857,0.0,1.0,1.4377
137,1.0,127,159,32,0.2013,127.0,60.0,12.54,18.0,0.6967,2.1167,12.44,1.396,0.06,628.71,60,2.264821,15162.825293,1.583855,-0.493237,0.0,1.0,1.4433
138,1.0,115,132,17,0.1288,115.0,60.0,19.69,18.0,1.0939,1.9167,19.59,1.4029,0.06,1481.93,60,1.086255,84381.403906,1.585238,-0.428067,0.0,1.0,1.3619
139,1.0,132,157,25,0.1592,132.0,60.0,18.58,18.0,1.0323,2.2,18.48,1.4128,0.06,974.78,60,0.292411,44417.216406,1.586124,-0.426397,0.0,1.0,1.4794
140,1.0,140,163,23,0.1411,140.0,60.0,22.25,18.0,1.2359,2.3333,22.15,1.4209,0.06,983.64,60,0.605954,44515.320703,1.586664,-0.45656,0.0,1.0,1.4726
141,1.0,114,139,25,0.1799,114.0,60.0,13.7,18.0,0.7609,1.9,13.6,1.4329,0.06,722.41,60,0.400945,25188.458203,1.587153,-0.465499,0.0,1.0,1.4715
142,1.0,123,139,16,0.1151,123.0,60.0,22.74,18.0,1.2634,2.05,22.64,1.4384,0.06,1618.11,60,0.187461,103498.555469,1.587628,-0.328949,0.0,1.0,1.4029
143,1.0,108,127,19,0.1496,108.0,60.0,16.24,18.0,0.9024,1.8,16.14,1.4473,0.06,933.74,60,0.66759,46977.366406,1.587957,-0.339632,0.0,1.0,1.4296
144,1.0,120,142,22,0.1549,120.0,60.0,17.41,18.0,0.9671,2.0,17.31,1.4568,0.06,1113.05,60,0.60755,51087.334766,1.588282,-0.312755,0.0,1.0,1.4206
