episode,time_h,completed,attempts,errors,err_rate,err_target,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,episode_reward,episode_steps,mean_speed,mean_care,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
702,1.0,93,100,7,0.07,0.06,93.0,60.0,21.39,18.0,1.1883,1.55,21.29,0.0284,1189.46,60,0.51,0.513,1.272274,55926.108594,4.395529,-1.014831,0.0,1.0,1.3996
703,1.0,81,91,10,0.1099,0.06,81.0,60.0,15.4,18.0,0.8555,1.35,15.3,0.0289,965.49,60,0.58,0.486,1.647991,34831.816016,4.39791,-0.987964,0.0,1.0,1.4179
704,1.0,109,115,6,0.0522,0.06,109.0,60.0,27.01,18.0,1.5007,1.8167,26.91,0.0289,1812.7,60,0.602,0.494,0.774683,122199.760938,4.400209,-0.596538,0.0,1.0,1.4215
705,1.0,106,116,10,0.0862,0.06,106.0,60.0,22.66,18.0,1.259,1.7667,22.56,0.0291,1060.41,60,0.671,0.355,0.561031,45694.299219,4.401712,-0.652933,0.0,1.0,1.4495
706,1.0,96,99,3,0.0303,0.06,96.0,60.0,25.89,18.0,1.4384,1.6,25.79,0.0288,1655.18,60,0.565,0.382,2.86022,120498.326562,4.403051,-0.959401,0.0,1.0,1.3649
707,1.0,81,92,11,0.1196,0.06,81.0,60.0,14.62,18.0,0.812,1.35,14.52,0.0294,1009.55,60,0.586,0.367,9.784948,44385.962891,4.406509,-0.984156,0.0,1.0,1.3285
708,1.0,104,111,7,0.0631,0.06,104.0,60.0,24.64,18.0,1.369,1.7333,24.54,0.0294,1613.53,60,0.684,0.521,2.143719,114326.158594,4.414008,-0.858305,0.0,1.0,1.3756
709,1.0,96,105,9,0.0857,0.06,96.0,60.0,20.57,18.0,1.1429,1.6,20.47,0.0297,1395.85,60,0.569,0.259,1.231509,85266.310938,4.418667,-1.043976,0.0,1.0,1.3359
710,1.0,86,92,6,0.0652,0.06,86.0,60.0,20.19,18.0,1.1217,1.4333,20.09,0.0298,1196.68,60,0.637,0.535,1.827207,64612.442188,4.421341,-0.889322,0.0,1.0,1.3767
711,1.0,87,91,4,0.044,0.06,87.0,60.0,22.28,18.0,1.2375,1.45,22.18,0.0296,1228.89,60,0.618,0.472,0.890402,64123.177344,4.423482,-0.841,0.0,1.0,1.4047
712,1.0,86,96,10,0.1042,0.06,86.0,60.0,16.84,18.0,0.9356,1.4333,16.74,0.03,1212.84,60,0.545,0.398,0.976453,58058.941797,4.425149,-0.788351,0.0,1.0,1.3658
713,1.0,107,113,6,0.0531,0.06,107.0,60.0,26.42,18.0,1.4677,1.7833,26.32,0.03,1647.44,60,0.614,0.342,1.79619,112666.597656,4.426684,-0.812317,0.0,1.0,1.3839
714,1.0,94,99,5,0.0505,0.06,94.0,60.0,23.45,18.0,1.3029,1.5667,23.35,0.0299,1456.9,60,0.502,0.435,0.942344,94417.798438,4.428165,-1.00266,0.0,1.0,1.383
715,1.0,98,102,4,0.0392,0.06,98.0,60.0,25.56,18.0,1.4198,1.6333,25.46,0.0297,1277.54,60,0.576,0.502,1.175583,74987.802344,4.429452,-0.881595,0.0,1.0,1.4342
716,1.0,107,111,4,0.036,0.06,107.0,60.0,28.24,18.0,1.5691,1.7833,28.14,0.0294,1546.57,60,0.571,0.488,1.455055,111914.429688,4.430748,-0.857495,0.0,1.0,1.4365
717,1.0,106,117,11,0.094,0.06,106.0,60.0,21.83,18.0,1.213,1.7667,21.73,0.0298,1566.1,60,0.596,0.265,1.17486,122975.65,4.432032,-1.010258,0.0,1.0,1.3463
718,1.0,114,122,8,0.0656,0.06,114.0,60.0,26.72,18.0,1.4847,1.9,26.62,0.0298,1944.61,60,0.624,0.334,1.080283,168543.573438,4.433194,-0.989171,0.0,1.0,1.3582
719,1.0,91,96,5,0.0521,0.06,91.0,60.0,22.56,18.0,1.2534,1.5167,22.46,0.0297,1329.21,60,0.495,0.454,1.277312,71411.66875,4.434317,-1.068773,0.0,1.0,1.3892
720,1.0,87,95,8,0.0842,0.06,87.0,60.0,18.77,18.0,1.043,1.45,18.67,0.03,1364.55,60,0.513,0.384,3.456493,71859.070312,4.436031,-0.85645,0.0,1.0,1.3877
721,1.0,95,99,4,0.0404,0.06,95.0,60.0,24.66,18.0,1.3701,1.5833,24.56,0.0298,1553.23,60,0.548,0.396,0.984072,100736.632031,4.438539,-0.966161,0.0,1.0,1.3694
722,1.0,86,95,9,0.0947,0.06,86.0,60.0,17.65,18.0,0.9807,1.4333,17.55,0.0301,1301.33,60,0.591,0.505,1.775305,65255.685156,4.440508,-0.999814,0.0,1.0,1.3623
723,1.0,80,87,7,0.0805,0.06,80.0,60.0,17.56,18.0,0.9757,1.3333,17.46,0.0303,1261.01,60,0.535,0.433,5.927981,67326.845703,4.44316,-0.933579,0.0,1.0,1.3653
724,1.0,94,100,6,0.06,0.06,94.0,60.0,22.56,18.0,1.2533,1.5667,22.46,0.0303,1182.72,60,0.567,0.444,1.473542,59418.561719,4.447322,-0.800484,0.0,1.0,1.4216
725,1.0,90,95,5,0.0526,0.06,90.0,60.0,22.26,18.0,1.2368,1.5,22.16,0.0303,1456.76,60,0.601,0.368,0.686725,92665.670312,4.450231,-0.575421,0.0,1.0,1.3853
726,1.0,103,108,5,0.0463,0.06,103.0,60.0,26.13,18.0,1.4517,1.7167,26.03,0.0301,1576.14,60,0.586,0.446,21.973974,103562.315625,4.454214,-0.991094,0.0,1.0,1.3359
727,1.0,79,85,6,0.0706,0.06,79.0,60.0,18.12,18.0,1.0069,1.3167,18.02,0.0302,1053.38,60,0.58,0.383,1.650269,41079.435547,4.463668,-0.806569,0.0,1.0,1.4176
728,1.0,92,96,4,0.0417,0.06,92.0,60.0,23.77,18.0,1.3204,1.5333,23.67,0.03,1413.0,60,0.431,0.352,1.134219,90916.847656,4.469659,-0.800951,0.0,1.0,1.3884
729,1.0,115,120,5,0.0417,0.06,115.0,60.0,29.71,18.0,1.6505,1.9167,29.61,0.0299,1945.89,60,0.65,0.463,0.805003,189540.098438,4.472592,-0.830635,0.0,1.0,1.3724
730,1.0,88,94,6,0.0638,0.06,88.0,60.0,20.78,18.0,1.1546,1.4667,20.68,0.0299,1133.8,60,0.504,0.509,4.224724,50982.167578,4.474704,-1.095108,0.0,1.0,1.4259
731,1.0,90,100,10,0.1,0.06,90.0,60.0,18.0,18.0,1.0,1.5,17.9,0.0303,1065.84,60,0.545,0.412,15.505923,54033.513672,4.480041,-1.080117,0.0,1.0,1.386
732,1.0,99,105,6,0.0571,0.06,99.0,60.0,24.04,18.0,1.3357,1.65,23.94,0.0303,1227.57,60,0.632,0.367,1.517223,71596.214844,4.490035,-1.15412,0.0,1.0,1.4288
733,1.0,90,99,9,0.0909,0.06,90.0,60.0,18.82,18.0,1.0455,1.5,18.72,0.0306,1020.83,60,0.624,0.44,2.97859,47867.162109,4.496167,-1.084165,0.0,1.0,1.4427
734,1.0,97,102,5,0.049,0.06,97.0,60.0,24.35,18.0,1.3525,1.6167,24.25,0.0305,1254.75,60,0.58,0.479,2.154421,69034.942188,4.500328,-0.874497,0.0,1.0,1.4543
735,1.0,85,94,9,0.0957,0.06,85.0,60.0,17.36,18.0,0.9645,1.4167,17.26,0.0308,1103.55,60,0.632,0.385,1.642418,50642.431641,4.503374,-0.809595,0.0,1.0,1.372
736,1.0,94,102,8,0.0784,0.06,94.0,60.0,20.83,18.0,1.1571,1.5667,20.73,0.031,1323.7,60,0.608,0.428,2.652052,75893.571094,4.506055,-1.006696,0.0,1.0,1.3582
737,1.0,105,110,5,0.0455,0.06,105.0,60.0,26.73,18.0,1.4848,1.75,26.63,0.0309,1584.42,60,0.649,0.404,1.312701,113415.794531,4.508599,-0.90498,0.0,1.0,1.3726
738,1.0,103,111,8,0.0721,0.06,103.0,60.0,23.48,18.0,1.3043,1.7167,23.38,0.031,1346.89,60,0.649,0.398,2.647983,78142.604688,4.510672,-0.813866,0.0,1.0,1.3902
739,1.0,98,103,5,0.0485,0.06,98.0,60.0,24.64,18.0,1.369,1.6333,24.54,0.0309,1466.9,60,0.634,0.453,2.78351,86296.5125,4.513147,-1.207249,0.0,1.0,1.3895
740,1.0,87,102,15,0.1471,0.06,87.0,60.0,13.31,18.0,0.7392,1.45,13.21,0.0317,739.78,60,0.572,0.319,0.809086,26233.631055,4.515781,-0.820561,0.0,1.0,1.4021
741,1.0,75,86,11,0.1279,0.06,75.0,60.0,12.91,18.0,0.7171,1.25,12.81,0.0324,376.13,60,0.627,0.352,1.262569,6930.876172,4.518809,-1.130665,0.0,1.0,1.3731
742,1.0,103,112,9,0.0804,0.06,103.0,60.0,22.62,18.0,1.2568,1.7167,22.52,0.0326,1364.04,60,0.597,0.361,0.361625,76413.744531,4.523161,-0.832728,0.0,1.0,1.335
743,1.0,88,92,4,0.0435,0.06,88.0,60.0,22.57,18.0,1.2541,1.4667,22.47,0.0325,1252.54,60,0.604,0.409,0.495777,66391.359766,4.525711,-1.017734,0.0,1.0,1.4246
744,1.0,92,99,7,0.0707,0.06,92.0,60.0,21.09,18.0,1.1719,1.5333,20.99,0.0326,1334.03,60,0.569,0.377,1.214102,77309.145312,4.527287,-0.746774,0.0,1.0,1.359
745,1.0,90,96,6,0.0625,0.06,90.0,60.0,21.38,18.0,1.1875,1.5,21.27,0.0326,1193.87,60,0.499,0.357,2.460615,57710.330859,4.529012,-0.773412,0.0,1.0,1.4367
746,1.0,97,106,9,0.0849,0.06,97.0,60.0,20.86,18.0,1.1591,1.6167,20.76,0.0328,941.78,60,0.62,0.37,15.164371,41144.666406,4.533945,-1.129166,0.0,1.0,1.4043
747,1.0,104,114,10,0.0877,0.06,104.0,60.0,22.08,18.0,1.2265,1.7333,21.98,0.0331,1032.03,60,0.576,0.475,1.364641,43551.966797,4.545209,-0.844645,0.0,1.0,1.4284
748,1.0,86,92,6,0.0652,0.06,86.0,60.0,20.19,18.0,1.1217,1.4333,20.09,0.0332,1206.29,60,0.514,0.356,1.977477,68525.55625,4.552015,-0.934499,0.0,1.0,1.3851
749,1.0,102,107,5,0.0467,0.06,102.0,60.0,25.83,18.0,1.4352,1.7,25.73,0.033,1319.37,60,0.476,0.428,6.112987,80397.223438,4.556251,-0.802383,0.0,1.0,1.4497
750,1.0,91,96,5,0.0521,0.06,91.0,60.0,22.56,18.0,1.2534,1.5167,22.46,0.033,1156.92,60,0.543,0.362,0.880501,58947.717969,4.56029,-0.994116,0.0,1.0,1.4439
751,1.0,92,102,10,0.098,0.06,92.0,60.0,18.58,18.0,1.0322,1.5333,18.48,0.0333,1241.14,60,0.58,0.489,4.086325,66601.605469,4.563305,-0.93812,0.0,1.0,1.3722
752,1.0,83,87,4,0.046,0.06,83.0,60.0,21.08,18.0,1.1713,1.3833,20.98,0.0332,1346.37,60,0.551,0.516,5.146354,77162.26875,4.5671,-1.171242,0.0,1.0,1.4048
753,1.0,83,87,4,0.046,0.06,83.0,60.0,21.08,18.0,1.1713,1.3833,20.98,0.0331,1307.51,60,0.525,0.399,3.642645,68995.4625,4.571545,-1.071453,0.0,1.0,1.3723
754,1.0,108,110,2,0.0182,0.06,108.0,60.0,30.44,18.0,1.6909,1.8,30.34,0.0326,1873.02,60,0.59,0.41,0.820655,164967.078125,4.575316,-0.811456,0.0,1.0,1.3679
755,1.0,101,109,8,0.0734,0.06,101.0,60.0,22.89,18.0,1.2715,1.6833,22.79,0.0328,1304.56,60,0.549,0.481,1.11516,74537.136719,4.577468,-0.977547,0.0,1.0,1.4099
756,1.0,105,110,5,0.0455,0.06,105.0,60.0,26.73,18.0,1.4848,1.75,26.63,0.0326,1322.29,60,0.74,0.396,1.609337,77765.344531,4.579128,-0.978826,0.0,1.0,1.4629
757,1.0,91,94,3,0.0319,0.06,91.0,60.0,24.4,18.0,1.3553,1.5167,24.3,0.0324,1435.73,60,0.581,0.489,1.240734,84802.651562,4.580794,-0.888054,0.0,1.0,1.3974
758,1.0,83,92,9,0.0978,0.06,83.0,60.0,16.78,18.0,0.9322,1.3833,16.68,0.0327,1152.33,60,0.546,0.416,21.118923,59031.824609,4.585287,-0.896184,0.0,1.0,1.3373
759,1.0,87,93,6,0.0645,0.06,87.0,60.0,20.49,18.0,1.1382,1.45,20.39,0.0328,1423.46,60,0.605,0.366,1.653367,80548.317969,4.596873,-0.882562,0.0,1.0,1.3577
760,1.0,97,102,5,0.049,0.06,97.0,60.0,24.35,18.0,1.3525,1.6167,24.25,0.0327,1465.19,60,0.509,0.448,1.571439,90100.769531,4.603622,-1.095642,0.0,1.0,1.3839
761,1.0,89,93,4,0.043,0.06,89.0,60.0,22.87,18.0,1.2707,1.4833,22.77,0.0325,1192.08,60,0.612,0.411,0.923698,61459.352344,4.606967,-0.825168,0.0,1.0,1.4185
762,1.0,98,104,6,0.0577,0.06,98.0,60.0,23.75,18.0,1.3192,1.6333,23.65,0.0325,1326.08,60,0.662,0.468,30.10836,73280.035156,4.61241,-0.969081,0.0,1.0,1.3886
763,1.0,104,110,6,0.0545,0.06,104.0,60.0,25.53,18.0,1.4182,1.7333,25.43,0.0324,1607.12,60,0.395,0.451,0.883833,113060.054688,4.625508,-0.715343,0.0,1.0,1.372
764,1.0,94,102,8,0.0784,0.06,94.0,60.0,20.83,18.0,1.1571,1.5667,20.73,0.0326,1229.63,60,0.538,0.451,1.561217,66327.382422,4.632625,-0.945601,0.0,1.0,1.4358
765,1.0,105,112,7,0.0625,0.06,105.0,60.0,24.94,18.0,1.3854,1.75,24.84,0.0326,1408.43,60,0.538,0.381,0.836412,80899.76875,4.636025,-1.053878,0.0,1.0,1.3614
766,1.0,94,103,9,0.0874,0.06,94.0,60.0,19.99,18.0,1.1104,1.5667,19.89,0.0329,1141.87,60,0.591,0.377,2.431941,54643.269141,4.638196,-0.732988,0.0,1.0,1.383
767,1.0,87,91,4,0.044,0.06,87.0,60.0,22.28,18.0,1.2375,1.45,22.18,0.0327,1590.03,60,0.56,0.352,3.459127,97889.45,4.640693,-0.969409,0.0,1.0,1.3876
768,1.0,99,107,8,0.0748,0.06,99.0,60.0,22.3,18.0,1.2388,1.65,22.2,0.0329,1400.91,60,0.695,0.32,0.773493,84230.576562,4.643234,-0.881988,0.0,1.0,1.351
769,1.0,98,105,7,0.0667,0.06,98.0,60.0,22.87,18.0,1.2704,1.6333,22.77,0.033,1402.43,60,0.621,0.413,0.816047,90086.699219,4.644888,-0.798059,0.0,1.0,1.4332
770,1.0,84,90,6,0.0667,0.06,84.0,60.0,19.6,18.0,1.0889,1.4,19.5,0.033,954.16,60,0.515,0.434,132.92776,37094.74375,4.656856,-1.245297,0.0,1.0,1.4317
771,1.0,100,107,7,0.0654,0.06,100.0,60.0,23.46,18.0,1.3032,1.6667,23.36,0.0331,1430.1,60,0.596,0.447,1.996627,97274.045312,4.686674,-1.223887,0.0,1.0,1.3634
772,1.0,90,94,4,0.0426,0.06,90.0,60.0,23.17,18.0,1.2872,1.5,23.07,0.0329,1322.38,60,0.497,0.346,1.715469,73054.419531,4.701145,-0.86228,0.0,1.0,1.3897
773,1.0,103,108,5,0.0463,0.06,103.0,60.0,26.13,18.0,1.4517,1.7167,26.03,0.0328,1347.07,60,0.599,0.3,4.542001,82857.632812,4.706744,-0.986494,0.0,1.0,1.437
774,1.0,89,96,7,0.0729,0.06,89.0,60.0,20.21,18.0,1.1228,1.4833,20.11,0.0329,1140.73,60,0.585,0.399,2.661694,48930.497266,4.709517,-0.881103,0.0,1.0,1.3836
775,1.0,91,100,9,0.09,0.06,91.0,60.0,19.11,18.0,1.0617,1.5167,19.01,0.0332,1037.47,60,0.612,0.407,4.319177,50738.101562,4.711382,-0.918673,0.0,1.0,1.4081
776,1.0,83,91,8,0.0879,0.06,83.0,60.0,17.6,18.0,0.978,1.3833,17.5,0.0335,1199.99,60,0.631,0.349,0.686086,63468.836719,4.712972,-0.861237,0.0,1.0,1.3624
777,1.0,92,97,5,0.0515,0.06,92.0,60.0,22.86,18.0,1.2699,1.5333,22.76,0.0334,1560.06,60,0.615,0.48,0.660628,116762.175,4.713875,-0.925985,0.0,1.0,1.3261
778,1.0,99,104,5,0.0481,0.06,99.0,60.0,24.94,18.0,1.3856,1.65,24.84,0.0333,1333.5,60,0.643,0.52,1.533279,78353.685156,4.714422,-1.182962,0.0,1.0,1.4321
779,1.0,93,102,9,0.0882,0.06,93.0,60.0,19.69,18.0,1.0941,1.55,19.59,0.0336,905.29,60,0.638,0.449,1.696832,33823.358984,4.715015,-0.864944,0.0,1.0,1.4684
780,1.0,95,102,7,0.0686,0.06,95.0,60.0,21.98,18.0,1.2211,1.5833,21.88,0.0336,1467.5,60,0.602,0.408,0.825353,81440.730469,4.715725,-0.706241,0.0,1.0,1.3978
781,1.0,89,94,5,0.0532,0.06,89.0,60.0,21.97,18.0,1.2203,1.4833,21.87,0.0336,1477.82,60,0.491,0.367,1.775189,87041.104688,4.716318,-0.988454,0.0,1.0,1.3597
782,1.0,98,106,8,0.0755,0.06,98.0,60.0,22.0,18.0,1.2224,1.6333,21.9,0.0337,1228.51,60,0.589,0.418,1.697594,54608.223438,4.716961,-0.991572,0.0,1.0,1.4224
783,1.0,91,97,6,0.0619,0.06,91.0,60.0,21.67,18.0,1.204,1.5167,21.57,0.0337,1410.64,60,0.524,0.457,10.350188,76807.88125,4.718042,-0.983345,0.0,1.0,1.4267
784,1.0,104,114,10,0.0877,0.06,104.0,60.0,22.08,18.0,1.2265,1.7333,21.98,0.034,955.39,60,0.44,0.426,2.409174,46968.369141,4.720071,-0.837848,0.0,1.0,1.3871
785,1.0,99,103,4,0.0388,0.06,99.0,60.0,25.86,18.0,1.4364,1.65,25.76,0.0338,1367.21,60,0.575,0.524,1.038213,83462.048438,4.721617,-0.926266,0.0,1.0,1.4527
786,1.0,91,99,8,0.0808,0.06,91.0,60.0,19.95,18.0,1.1081,1.5167,19.85,0.034,1256.89,60,0.592,0.416,1.196426,56951.918359,4.722525,-0.95129,0.0,1.0,1.4088
787,1.0,107,112,5,0.0446,0.06,107.0,60.0,27.32,18.0,1.518,1.7833,27.22,0.0339,1520.34,60,0.61,0.421,5.1111,101613.04375,4.72335,-1.168325,0.0,1.0,1.4132
788,1.0,86,94,8,0.0851,0.06,86.0,60.0,18.48,18.0,1.0267,1.4333,18.38,0.0341,1202.74,60,0.596,0.404,2.504009,60328.410547,4.724454,-1.044808,0.0,1.0,1.3576
789,1.0,92,102,10,0.098,0.06,92.0,60.0,18.58,18.0,1.0322,1.5333,18.48,0.0345,1086.2,60,0.584,0.579,8.092613,44227.125,4.725941,-1.106574,0.0,1.0,1.3771
790,1.0,85,91,6,0.0659,0.06,85.0,60.0,19.9,18.0,1.1053,1.4167,19.8,0.0346,1262.75,60,0.541,0.433,3.938965,64809.820312,4.72837,-1.297161,0.0,1.0,1.3887
791,1.0,100,104,4,0.0385,0.06,100.0,60.0,26.15,18.0,1.453,1.6667,26.05,0.0343,1481.04,60,0.625,0.396,0.914244,90962.497656,4.730265,-0.718591,0.0,1.0,1.408
792,1.0,87,94,7,0.0745,0.06,87.0,60.0,19.62,18.0,1.0901,1.45,19.52,0.0345,1182.77,60,0.607,0.441,59.383988,58469.947266,4.734154,-1.090497,0.0,1.0,1.3765
793,1.0,91,100,9,0.09,0.06,91.0,60.0,19.11,18.0,1.0617,1.5167,19.01,0.0348,1335.26,60,0.591,0.386,0.714499,63879.560547,4.744759,-0.75201,0.0,1.0,1.4401
794,1.0,102,109,7,0.0642,0.06,102.0,60.0,24.05,18.0,1.3361,1.7,23.95,0.0348,1259.76,60,0.648,0.427,1.674954,65228.730078,4.750388,-0.983735,0.0,1.0,1.4453
795,1.0,96,104,8,0.0769,0.06,96.0,60.0,21.42,18.0,1.1897,1.6,21.32,0.035,1204.23,60,0.505,0.367,1.904904,59734.323828,4.752787,-0.842991,0.0,1.0,1.4526
796,1.0,96,99,3,0.0303,0.06,96.0,60.0,25.89,18.0,1.4384,1.6,25.79,0.0347,1530.39,60,0.544,0.575,2.712677,95957.059375,4.754138,-0.909649,0.0,1.0,1.3973
797,1.0,111,117,6,0.0513,0.06,111.0,60.0,27.61,18.0,1.5338,1.85,27.51,0.0346,1720.54,60,0.603,0.421,0.917558,137814.357812,4.755068,-1.09997,0.0,1.0,1.3781
798,1.0,92,99,7,0.0707,0.06,92.0,60.0,21.09,18.0,1.1719,1.5333,20.99,0.0347,1127.26,60,0.553,0.427,1.627759,48561.025781,4.755695,-1.056838,0.0,1.0,1.4362
799,1.0,94,102,8,0.0784,0.06,94.0,60.0,20.83,18.0,1.1571,1.5667,20.73,0.0349,1385.74,60,0.649,0.392,2.635065,76867.2,4.756403,-1.078623,0.0,1.0,1.4036
800,1.0,93,101,8,0.0792,0.06,93.0,60.0,20.53,18.0,1.1408,1.55,20.43,0.0351,1267.78,60,0.46,0.36,1.519003,66143.938672,4.757243,-0.884171,0.0,1.0,1.4035
801,1.0,85,89,4,0.0449,0.06,85.0,60.0,21.68,18.0,1.2044,1.4167,21.58,0.0349,1396.39,60,0.51,0.597,1.551863,80516.514062,4.757985,-0.819603,0.0,1.0,1.3859
802,1.0,96,102,6,0.0588,0.06,96.0,60.0,23.15,18.0,1.2863,1.6,23.05,0.0349,1225.74,60,0.597,0.42,1.791439,62630.495703,4.758661,-1.10647,0.0,1.0,1.3943
803,1.0,94,97,3,0.0309,0.06,94.0,60.0,25.29,18.0,1.4052,1.5667,25.19,0.0346,1315.83,60,0.634,0.579,1.95078,69715.341406,4.759378,-0.920202,0.0,1.0,1.4637
804,1.0,108,111,3,0.027,0.06,108.0,60.0,29.48,18.0,1.6378,1.8,29.38,0.0343,1396.53,60,0.512,0.28,1.694381,87830.349219,4.760085,-0.866719,0.0,1.0,1.453
805,1.0,94,100,6,0.06,0.06,94.0,60.0,22.56,18.0,1.2533,1.5667,22.46,0.0343,1685.74,60,0.514,0.493,15.668637,107547.371094,4.761276,-1.007417,0.0,1.0,1.401
806,1.0,99,108,9,0.0833,0.06,99.0,60.0,21.45,18.0,1.1917,1.65,21.35,0.0345,1225.5,60,0.581,0.308,0.881951,65341.830469,4.76382,-0.803122,0.0,1.0,1.3719
807,1.0,85,91,6,0.0659,0.06,85.0,60.0,19.9,18.0,1.1053,1.4167,19.8,0.0346,956.75,60,0.52,0.569,6.050319,41949.923047,4.765651,-1.40519,0.0,1.0,1.4354
808,1.0,91,101,10,0.099,0.06,91.0,60.0,18.29,18.0,1.0161,1.5167,18.19,0.035,872.48,60,0.54,0.348,1.196463,32959.016211,4.767627,-0.908694,0.0,1.0,1.4241
809,1.0,94,100,6,0.06,0.06,94.0,60.0,22.56,18.0,1.2533,1.5667,22.46,0.035,1531.36,60,0.545,0.429,1.668188,95504.814844,4.768978,-0.823873,0.0,1.0,1.3491
810,1.0,96,101,5,0.0495,0.06,96.0,60.0,24.05,18.0,1.336,1.6,23.95,0.0349,1356.81,60,0.578,0.343,3.25551,78824.13125,4.769958,-0.954148,0.0,1.0,1.3764
811,1.0,98,105,7,0.0667,0.06,98.0,60.0,22.87,18.0,1.2704,1.6333,22.77,0.035,1152.82,60,0.523,0.393,3.84453,52225.510938,4.771124,-0.958449,0.0,1.0,1.4658
812,1.0,89,94,5,0.0532,0.06,89.0,60.0,21.97,18.0,1.2203,1.4833,21.87,0.0349,1366.75,60,0.643,0.504,1.843391,77848.639062,4.772451,-0.967031,0.0,1.0,1.3518
813,1.0,98,112,14,0.125,0.06,98.0,60.0,17.15,18.0,0.9528,1.6333,17.05,0.0355,1119.14,60,0.631,0.5,0.889278,51930.565234,4.773469,-0.925385,0.0,1.0,1.3445
814,1.0,96,105,9,0.0857,0.06,96.0,60.0,20.57,18.0,1.1429,1.6,20.47,0.0358,1167.38,60,0.519,0.431,0.927287,58576.935938,4.774216,-0.899742,0.0,1.0,1.3944
815,1.0,83,91,8,0.0879,0.06,83.0,60.0,17.6,18.0,0.978,1.3833,17.5,0.0361,1274.29,60,0.571,0.499,1.156923,54594.280859,4.774847,-0.983559,0.0,1.0,1.3933
816,1.0,90,101,11,0.1089,0.06,90.0,60.0,17.2,18.0,0.9554,1.5,17.1,0.0366,1363.1,60,0.537,0.395,1.374731,66668.496875,4.77551,-0.892559,0.0,1.0,1.4095
817,1.0,97,101,4,0.0396,0.06,97.0,60.0,25.26,18.0,1.4032,1.6167,25.16,0.0364,1634.33,60,0.616,0.407,0.56217,114728.646875,4.776144,-0.856406,0.0,1.0,1.3452
818,1.0,92,101,9,0.0891,0.06,92.0,60.0,19.4,18.0,1.0779,1.5333,19.3,0.0367,1175.49,60,0.615,0.375,0.77798,53952.289844,4.776628,-1.107496,0.0,1.0,1.321
819,1.0,91,95,4,0.0421,0.06,91.0,60.0,23.47,18.0,1.3038,1.5167,23.37,0.0365,1294.15,60,0.449,0.434,3.484715,68754.616406,4.777262,-0.941554,0.0,1.0,1.4297
820,1.0,91,101,10,0.099,0.06,91.0,60.0,18.29,18.0,1.0161,1.5167,18.19,0.0369,1220.58,60,0.649,0.363,0.735078,60395.742969,4.778198,-0.793243,0.0,1.0,1.3619
821,1.0,98,105,7,0.0667,0.06,98.0,60.0,22.87,18.0,1.2704,1.6333,22.77,0.0369,1270.59,60,0.606,0.365,2.277368,60127.132812,4.77898,-1.015712,0.0,1.0,1.4077
822,1.0,94,98,4,0.0408,0.06,94.0,60.0,24.36,18.0,1.3535,1.5667,24.26,0.0367,1543.39,60,0.481,0.457,1.600496,99711.477344,4.779815,-0.669616,0.0,1.0,1.4021
823,1.0,91,94,3,0.0319,0.06,91.0,60.0,24.4,18.0,1.3553,1.5167,24.3,0.0365,1426.97,60,0.632,0.515,1.099536,81326.455469,4.7805,-0.712248,0.0,1.0,1.402
824,1.0,88,96,8,0.0833,0.06,88.0,60.0,19.07,18.0,1.0593,1.4667,18.97,0.0367,1286.93,60,0.527,0.475,4.431714,72865.073438,4.781243,-1.094518,0.0,1.0,1.3699
825,1.0,120,130,10,0.0769,0.06,120.0,60.0,26.77,18.0,1.4872,2.0,26.67,0.0369,1960.36,60,0.692,0.312,1.53691,162628.976562,4.78239,-0.927559,0.0,1.0,1.3593
826,1.0,94,100,6,0.06,0.06,94.0,60.0,22.56,18.0,1.2533,1.5667,22.46,0.0369,1134.69,60,0.582,0.457,27.694258,53878.864062,4.784853,-1.001234,0.0,1.0,1.4483
827,1.0,84,90,6,0.0667,0.06,84.0,60.0,19.6,18.0,1.0889,1.4,19.5,0.0369,1056.58,60,0.544,0.552,3.210766,46208.542188,4.791433,-0.94227,0.0,1.0,1.3978
828,1.0,97,105,8,0.0762,0.06,97.0,60.0,21.71,18.0,1.2061,1.6167,21.61,0.0371,1435.45,60,0.619,0.389,1.734627,85106.59375,4.795581,-0.983748,0.0,1.0,1.3634
829,1.0,90,96,6,0.0625,0.06,90.0,60.0,21.38,18.0,1.1875,1.5,21.27,0.0371,1330.76,60,0.578,0.562,2.553011,87399.328906,4.797616,-1.01987,0.0,1.0,1.4006
830,1.0,99,106,7,0.066,0.06,99.0,60.0,23.16,18.0,1.2868,1.65,23.06,0.0372,1204.82,60,0.563,0.379,0.921958,57033.901172,4.798875,-0.888418,0.0,1.0,1.3969
831,1.0,77,86,9,0.1047,0.06,77.0,60.0,15.04,18.0,0.8357,1.2833,14.94,0.0376,1014.86,60,0.625,0.402,3.75434,35796.005859,4.799952,-1.122766,0.0,1.0,1.41
832,1.0,117,124,7,0.0565,0.06,117.0,60.0,28.5,18.0,1.5831,1.95,28.4,0.0376,1949.66,60,0.583,0.422,4.923353,163946.975,4.801576,-1.040905,0.0,1.0,1.392
833,1.0,84,91,7,0.0769,0.06,84.0,60.0,18.74,18.0,1.041,1.4,18.64,0.0378,1414.63,60,0.545,0.421,17.014771,74078.6,4.803866,-0.948321,0.0,1.0,1.4012
