episode,time_h,completed,attempts,errors,err_rate,err_target,mp_r,mp_h,w_hat_r,w_h,wage_parity,prod_parity,profit,lambda_dual,episode_reward,episode_steps,mean_speed,mean_care,policy_loss,value_loss,entropy,kl_divergence,novelty,mean_weight,p90_weight
623,1.0,100,103,3,0.0291,0.06,100.0,60.0,27.09,18.0,1.5049,1.6667,26.99,0.0163,1974.4,60,0.536,0.436,1.098533,167070.48125,4.184523,-1.016987,0.0,1.0,1.359
624,1.0,92,97,5,0.0515,0.06,92.0,60.0,22.86,18.0,1.2699,1.5333,22.76,0.0162,1408.58,60,0.603,0.339,0.773135,87916.624219,4.18595,-0.853416,0.0,1.0,1.3943
625,1.0,100,106,6,0.0566,0.06,100.0,60.0,24.34,18.0,1.3522,1.6667,24.24,0.0161,1399.61,60,0.663,0.422,1.568916,93589.533594,4.186977,-0.883422,0.0,1.0,1.4508
626,1.0,108,115,7,0.0609,0.06,108.0,60.0,25.83,18.0,1.4348,1.8,25.73,0.0162,1584.32,60,0.71,0.384,5.074223,117050.842969,4.188265,-1.068878,0.0,1.0,1.3617
627,1.0,87,103,16,0.1553,0.06,87.0,60.0,12.59,18.0,0.6992,1.45,12.49,0.0171,1029.38,60,0.627,0.394,2.040401,34798.536719,4.190375,-1.006251,0.0,1.0,1.4593
628,1.0,102,111,9,0.0811,0.06,102.0,60.0,22.33,18.0,1.2405,1.7,22.23,0.0173,1141.15,60,0.638,0.35,2.317994,59538.005469,4.192914,-1.22209,0.0,1.0,1.4506
629,1.0,84,94,10,0.1064,0.06,84.0,60.0,16.26,18.0,0.9035,1.4,16.16,0.0178,1321.46,60,0.627,0.405,0.489139,68229.435156,4.195076,-0.699043,0.0,1.0,1.3726
630,1.0,101,111,10,0.0901,0.06,101.0,60.0,21.2,18.0,1.1778,1.6833,21.1,0.0181,1029.97,60,0.628,0.432,0.743312,41250.553516,4.196453,-1.00867,0.0,1.0,1.3729
631,1.0,76,84,8,0.0952,0.06,76.0,60.0,15.56,18.0,0.8646,1.2667,15.46,0.0184,1134.87,60,0.503,0.401,10.390144,52759.728906,4.198578,-1.055094,0.0,1.0,1.3662
632,1.0,110,117,7,0.0598,0.06,110.0,60.0,26.42,18.0,1.4677,1.8333,26.32,0.0184,1596.45,60,0.648,0.474,23.690897,108257.077344,4.204787,-0.924486,0.0,1.0,1.3756
633,1.0,103,113,10,0.0885,0.06,103.0,60.0,21.78,18.0,1.2103,1.7167,21.68,0.0187,1495.37,60,0.631,0.425,2.486701,87274.849219,4.213621,-0.875048,0.0,1.0,1.4287
634,1.0,82,95,13,0.1368,0.06,82.0,60.0,13.38,18.0,0.7433,1.3667,13.28,0.0195,870.21,60,0.489,0.331,8.975092,31124.117969,4.219842,-0.923885,0.0,1.0,1.391
635,1.0,104,108,4,0.037,0.06,104.0,60.0,27.35,18.0,1.5193,1.7333,27.25,0.0193,1731.28,60,0.689,0.452,0.682562,123341.305469,4.226267,-0.88472,0.0,1.0,1.4202
636,1.0,101,111,10,0.0901,0.06,101.0,60.0,21.2,18.0,1.1778,1.6833,21.1,0.0196,1222.7,60,0.586,0.401,3.741274,64187.703516,4.22995,-1.042576,0.0,1.0,1.4067
637,1.0,107,118,11,0.0932,0.06,107.0,60.0,22.13,18.0,1.2292,1.7833,22.03,0.0199,1004.18,60,0.686,0.357,2.798422,46804.708203,4.233113,-0.86267,0.0,1.0,1.4753
638,1.0,84,91,7,0.0769,0.06,84.0,60.0,18.74,18.0,1.041,1.4,18.64,0.0201,815.48,60,0.618,0.434,1.211191,35738.630859,4.235927,-0.547861,0.0,1.0,1.3876
639,1.0,92,101,9,0.0891,0.06,92.0,60.0,19.4,18.0,1.0779,1.5333,19.3,0.0204,795.84,60,0.537,0.361,0.74573,27645.298828,4.238068,-0.950464,0.0,1.0,1.4819
640,1.0,90,98,8,0.0816,0.06,90.0,60.0,19.65,18.0,1.0918,1.5,19.55,0.0206,1101.29,60,0.577,0.415,0.939876,51024.999609,4.239683,-0.84059,0.0,1.0,1.4399
641,1.0,84,94,10,0.1064,0.06,84.0,60.0,16.26,18.0,0.9035,1.4,16.16,0.021,957.73,60,0.632,0.379,0.994432,33421.05332,4.241035,-0.681697,0.0,1.0,1.4141
642,1.0,98,103,5,0.0485,0.06,98.0,60.0,24.64,18.0,1.369,1.6333,24.54,0.0209,1262.75,60,0.658,0.364,0.807049,79361.807812,4.242327,-0.797838,0.0,1.0,1.4083
643,1.0,94,101,7,0.0693,0.06,94.0,60.0,21.69,18.0,1.2047,1.5667,21.59,0.021,1310.46,60,0.671,0.578,1.15498,68844.74375,4.243442,-0.979339,0.0,1.0,1.4322
644,1.0,86,93,7,0.0753,0.06,86.0,60.0,19.33,18.0,1.0737,1.4333,19.23,0.0212,1046.07,60,0.622,0.378,3.557633,44102.124219,4.24492,-0.972013,0.0,1.0,1.4118
645,1.0,104,108,4,0.037,0.06,104.0,60.0,27.35,18.0,1.5193,1.7333,27.25,0.0209,1578.52,60,0.71,0.524,1.237787,123106.313281,4.247245,-0.768732,0.0,1.0,1.4065
646,1.0,88,95,7,0.0737,0.06,88.0,60.0,19.92,18.0,1.1064,1.4667,19.82,0.0211,942.85,60,0.628,0.418,0.449016,33925.244141,4.248875,-1.054242,0.0,1.0,1.4535
647,1.0,88,95,7,0.0737,0.06,88.0,60.0,19.92,18.0,1.1064,1.4667,19.82,0.0212,1392.71,60,0.594,0.466,1.49207,78703.307031,4.250104,-0.944499,0.0,1.0,1.3735
648,1.0,91,95,4,0.0421,0.06,91.0,60.0,23.47,18.0,1.3038,1.5167,23.37,0.021,1515.79,60,0.505,0.455,2.644463,99842.046875,4.251453,-0.968369,0.0,1.0,1.3741
649,1.0,95,100,5,0.05,0.06,95.0,60.0,23.75,18.0,1.3194,1.5833,23.65,0.0209,1476.52,60,0.558,0.492,0.771327,91655.096094,4.253042,-1.068915,0.0,1.0,1.3643
650,1.0,100,109,9,0.0826,0.06,100.0,60.0,21.74,18.0,1.208,1.6667,21.64,0.0212,1222.39,60,0.632,0.404,4.505917,64116.509375,4.254661,-1.063447,0.0,1.0,1.4269
651,1.0,93,105,12,0.1143,0.06,93.0,60.0,17.27,18.0,0.9595,1.55,17.17,0.0217,965.09,60,0.61,0.39,0.885224,39485.609766,4.257166,-0.71552,0.0,1.0,1.3887
652,1.0,101,111,10,0.0901,0.06,101.0,60.0,21.2,18.0,1.1778,1.6833,21.1,0.022,1480.1,60,0.668,0.335,0.907834,93508.907031,4.25907,-1.038601,0.0,1.0,1.3714
653,1.0,101,113,12,0.1062,0.06,101.0,60.0,19.57,18.0,1.0875,1.6833,19.47,0.0225,1302.25,60,0.674,0.406,2.050617,72919.415625,4.260547,-0.899884,0.0,1.0,1.3546
654,1.0,97,104,7,0.0673,0.06,97.0,60.0,22.57,18.0,1.254,1.6167,22.47,0.0225,1379.85,60,0.619,0.377,0.590704,72122.701562,4.262177,-0.710734,0.0,1.0,1.4322
655,1.0,98,104,6,0.0577,0.06,98.0,60.0,23.75,18.0,1.3192,1.6333,23.65,0.0225,1334.01,60,0.705,0.496,0.87966,85643.25625,4.263378,-0.837344,0.0,1.0,1.4404
656,1.0,97,102,5,0.049,0.06,97.0,60.0,24.35,18.0,1.3525,1.6167,24.25,0.0224,1713.52,60,0.576,0.434,0.873213,139015.860938,4.264338,-0.902499,0.0,1.0,1.3717
657,1.0,98,104,6,0.0577,0.06,98.0,60.0,23.75,18.0,1.3192,1.6333,23.65,0.0224,1307.81,60,0.517,0.463,3.26474,82822.90625,4.265406,-1.08681,0.0,1.0,1.4094
658,1.0,84,92,8,0.087,0.06,84.0,60.0,17.9,18.0,0.9942,1.4,17.8,0.0226,1173.0,60,0.582,0.382,2.387694,53330.560547,4.267365,-1.236539,0.0,1.0,1.3727
659,1.0,103,107,4,0.0374,0.06,103.0,60.0,27.05,18.0,1.5028,1.7167,26.95,0.0224,1993.83,60,0.507,0.296,3.128824,189455.395312,4.26973,-1.014289,0.0,1.0,1.3397
660,1.0,86,97,11,0.1134,0.06,86.0,60.0,16.05,18.0,0.8915,1.4333,15.95,0.023,818.46,60,0.539,0.402,4.100216,29315.098828,4.272299,-0.834022,0.0,1.0,1.4255
661,1.0,86,93,7,0.0753,0.06,86.0,60.0,19.33,18.0,1.0737,1.4333,19.23,0.0231,1046.24,60,0.576,0.514,4.720489,46308.978906,4.276534,-1.18866,0.0,1.0,1.4638
662,1.0,100,111,11,0.0991,0.06,100.0,60.0,20.09,18.0,1.1161,1.6667,19.99,0.0235,1253.11,60,0.705,0.303,1.171489,68164.301953,4.281064,-0.701687,0.0,1.0,1.3742
663,1.0,94,99,5,0.0505,0.06,94.0,60.0,23.45,18.0,1.3029,1.5667,23.35,0.0234,1440.09,60,0.592,0.377,4.265474,94853.414062,4.284158,-1.000418,0.0,1.0,1.3941
664,1.0,87,99,12,0.1212,0.06,87.0,60.0,15.55,18.0,0.8641,1.45,15.45,0.024,853.98,60,0.612,0.339,1.389428,26323.989258,4.287216,-0.946662,0.0,1.0,1.3725
665,1.0,95,105,10,0.0952,0.06,95.0,60.0,19.45,18.0,1.0807,1.5833,19.35,0.0244,1586.29,60,0.621,0.443,1.058591,102139.305469,4.289783,-1.048315,0.0,1.0,1.3364
666,1.0,93,96,3,0.0312,0.06,93.0,60.0,24.99,18.0,1.3885,1.55,24.89,0.0241,1716.95,60,0.487,0.515,0.929295,128937.417188,4.291441,-0.850199,0.0,1.0,1.347
667,1.0,99,107,8,0.0748,0.06,99.0,60.0,22.3,18.0,1.2388,1.65,22.2,0.0242,1384.67,60,0.595,0.441,1.988425,86599.984375,4.292686,-1.191221,0.0,1.0,1.3879
668,1.0,94,99,5,0.0505,0.06,94.0,60.0,23.45,18.0,1.3029,1.5667,23.35,0.0241,1425.84,60,0.599,0.443,0.371886,88312.852344,4.294027,-0.698137,0.0,1.0,1.4195
669,1.0,89,100,11,0.11,0.06,89.0,60.0,16.91,18.0,0.9394,1.4833,16.81,0.0246,1217.92,60,0.578,0.456,1.088776,57583.794922,4.295065,-0.861251,0.0,1.0,1.3537
670,1.0,92,98,6,0.0612,0.06,92.0,60.0,21.97,18.0,1.2204,1.5333,21.87,0.0246,1471.0,60,0.561,0.439,0.832836,93179.049219,4.296233,-0.820428,0.0,1.0,1.3585
671,1.0,107,112,5,0.0446,0.06,107.0,60.0,27.32,18.0,1.518,1.7833,27.22,0.0245,1445.03,60,0.533,0.425,2.236051,96017.663281,4.297376,-0.813135,0.0,1.0,1.4381
672,1.0,100,107,7,0.0654,0.06,100.0,60.0,23.46,18.0,1.3032,1.6667,23.36,0.0245,1608.16,60,0.589,0.476,6.167199,110138.100781,4.299136,-0.996456,0.0,1.0,1.3722
673,1.0,101,104,3,0.0288,0.06,101.0,60.0,27.39,18.0,1.5215,1.6833,27.29,0.0242,1453.38,60,0.651,0.375,2.508866,98917.372656,4.301915,-0.841924,0.0,1.0,1.4572
674,1.0,84,91,7,0.0769,0.06,84.0,60.0,18.74,18.0,1.041,1.4,18.64,0.0244,1333.02,60,0.57,0.411,0.906459,81553.810938,4.304298,-0.848775,0.0,1.0,1.3568
675,1.0,88,100,12,0.12,0.06,88.0,60.0,15.84,18.0,0.88,1.4667,15.74,0.025,1050.41,60,0.523,0.358,5.738172,47274.190234,4.306806,-1.025435,0.0,1.0,1.3791
676,1.0,100,105,5,0.0476,0.06,100.0,60.0,25.24,18.0,1.4021,1.6667,25.14,0.0249,1482.07,60,0.66,0.45,0.726951,103724.925781,4.311102,-0.879571,0.0,1.0,1.4237
677,1.0,96,102,6,0.0588,0.06,96.0,60.0,23.15,18.0,1.2863,1.6,23.05,0.0249,1384.64,60,0.596,0.44,1.62405,77253.096094,4.313758,-0.938242,0.0,1.0,1.3879
678,1.0,90,96,6,0.0625,0.06,90.0,60.0,21.38,18.0,1.1875,1.5,21.27,0.0249,1246.11,60,0.549,0.414,1.004408,64501.806641,4.315625,-0.938133,0.0,1.0,1.3451
679,1.0,99,105,6,0.0571,0.06,99.0,60.0,24.04,18.0,1.3357,1.65,23.94,0.0249,1307.69,60,0.582,0.353,1.377468,69403.447656,4.317192,-0.939861,0.0,1.0,1.4193
680,1.0,98,111,13,0.1171,0.06,98.0,60.0,17.92,18.0,0.9957,1.6333,17.82,0.0254,804.38,60,0.483,0.317,7.858879,25275.595312,4.319994,-1.111465,0.0,1.0,1.4578
681,1.0,98,108,10,0.0926,0.06,98.0,60.0,20.33,18.0,1.1292,1.6333,20.23,0.0258,1282.77,60,0.497,0.398,1.295254,74651.523438,4.325941,-0.677555,0.0,1.0,1.3863
682,1.0,93,102,9,0.0882,0.06,93.0,60.0,19.69,18.0,1.0941,1.55,19.59,0.026,1472.94,60,0.539,0.476,22.173862,78252.569531,4.332025,-1.044812,0.0,1.0,1.432
683,1.0,95,100,5,0.05,0.06,95.0,60.0,23.75,18.0,1.3194,1.5833,23.65,0.0259,1270.82,60,0.62,0.518,2.334029,67477.723438,4.342462,-1.047945,0.0,1.0,1.4201
684,1.0,96,105,9,0.0857,0.06,96.0,60.0,20.57,18.0,1.1429,1.6,20.47,0.0262,1295.63,60,0.601,0.429,2.981783,82433.360938,4.348904,-0.95914,0.0,1.0,1.3601
685,1.0,98,105,7,0.0667,0.06,98.0,60.0,22.87,18.0,1.2704,1.6333,22.77,0.0263,1314.44,60,0.592,0.433,1.535075,76906.940625,4.352672,-0.972098,0.0,1.0,1.4324
686,1.0,88,96,8,0.0833,0.06,88.0,60.0,19.07,18.0,1.0593,1.4667,18.97,0.0265,960.72,60,0.529,0.498,3.439251,43479.85,4.355395,-1.16467,0.0,1.0,1.4388
687,1.0,101,111,10,0.0901,0.06,101.0,60.0,21.2,18.0,1.1778,1.6833,21.1,0.0268,1473.18,60,0.606,0.316,3.143153,97804.895312,4.358555,-1.144534,0.0,1.0,1.3721
688,1.0,95,100,5,0.05,0.06,95.0,60.0,23.75,18.0,1.3194,1.5833,23.65,0.0267,1325.35,60,0.539,0.369,1.231164,75914.953906,4.361312,-0.697378,0.0,1.0,1.3941
689,1.0,103,110,7,0.0636,0.06,103.0,60.0,24.35,18.0,1.3525,1.7167,24.25,0.0267,1406.53,60,0.521,0.389,1.402362,100400.889844,4.363232,-1.123382,0.0,1.0,1.3941
690,1.0,105,116,11,0.0948,0.06,105.0,60.0,21.54,18.0,1.1968,1.75,21.44,0.0271,1265.59,60,0.591,0.421,1.708264,71959.176562,4.364832,-0.948451,0.0,1.0,1.3947
691,1.0,88,96,8,0.0833,0.06,88.0,60.0,19.07,18.0,1.0593,1.4667,18.97,0.0273,1607.51,60,0.616,0.489,5.839766,106901.390625,4.366884,-0.975737,0.0,1.0,1.369
692,1.0,105,110,5,0.0455,0.06,105.0,60.0,26.73,18.0,1.4848,1.75,26.63,0.0272,1720.54,60,0.556,0.434,1.420568,148722.3,4.369753,-0.781878,0.0,1.0,1.3849
693,1.0,100,108,8,0.0741,0.06,100.0,60.0,22.59,18.0,1.2551,1.6667,22.49,0.0273,1802.54,60,0.604,0.385,0.730769,148988.58125,4.371639,-0.854212,0.0,1.0,1.3469
694,1.0,99,104,5,0.0481,0.06,99.0,60.0,24.94,18.0,1.3856,1.65,24.84,0.0272,1295.35,60,0.639,0.447,1.030154,73273.920312,4.372869,-0.647676,0.0,1.0,1.4213
695,1.0,98,102,4,0.0392,0.06,98.0,60.0,25.56,18.0,1.4198,1.6333,25.46,0.027,1474.86,60,0.555,0.384,1.802303,97524.940625,4.374138,-0.921239,0.0,1.0,1.4247
696,1.0,98,105,7,0.0667,0.06,98.0,60.0,22.87,18.0,1.2704,1.6333,22.77,0.0271,1476.86,60,0.651,0.374,0.860213,104562.603125,4.375507,-0.926474,0.0,1.0,1.3672
697,1.0,101,112,11,0.0982,0.06,101.0,60.0,20.38,18.0,1.1322,1.6833,20.28,0.0274,1008.62,60,0.605,0.425,2.154128,35663.687891,4.376918,-0.738972,0.0,1.0,1.4346
698,1.0,87,95,8,0.0842,0.06,87.0,60.0,18.77,18.0,1.043,1.45,18.67,0.0277,1123.44,60,0.581,0.397,9.418224,53133.5,4.380116,-1.423265,0.0,1.0,1.4286
699,1.0,98,101,3,0.0297,0.06,98.0,60.0,26.49,18.0,1.4716,1.6333,26.39,0.0274,1784.54,60,0.66,0.376,1.140914,146211.589062,4.385846,-0.887972,0.0,1.0,1.3584
700,1.0,104,115,11,0.0957,0.06,104.0,60.0,21.25,18.0,1.1807,1.7333,21.15,0.0277,1012.48,60,0.514,0.312,2.556224,47187.766016,4.389492,-1.072136,0.0,1.0,1.4407
701,1.0,81,92,11,0.1196,0.06,81.0,60.0,14.62,18.0,0.812,1.35,14.52,0.0283,1266.85,60,0.671,0.356,2.346201,63397.728906,4.392631,-1.058018,0.0,1.0,1.3613
