epoch,loss,align_loss,temporal_loss,cos_sim
1,0.009491669945418835,0.008011419658682175,0.014802503665643079,0.3460860161909035
2,0.0035746971344841377,0.0023184724351657288,0.012562246061861515,0.7195726718221392
3,0.002888436329417995,0.0015369280673829572,0.013515082187950611,0.7883366857256208
4,0.0025269311320568833,0.0010006336462018745,0.015262974160058158,0.8702217255319867
5,0.001870760161961828,0.0006450782488432846,0.012256818956562452,0.9192162326404026
6,0.0017501968458028777,0.0004637317490830485,0.012864650360175542,0.9408691951206752
7,0.001596549742056855,0.0003614706427989794,0.012350791000894137,0.9540982161249433
8,0.001558048467684005,0.00027592492239948897,0.012821235161806856,0.9646682824407306
9,0.0014753419673070312,0.0002502109730682735,0.012251309917441435,0.9682584575244358
10,0.0015269323318664516,0.0002144409331127203,0.01312491377549512,0.9728884186063494
11,0.001500116760975548,0.0001856446927247037,0.013144720478781633,0.9759915556226458
12,0.001437465926366193,0.00016947005393116603,0.012679958582988806,0.9780755639076233
13,0.0014374533202499151,0.00016862374988184975,0.012688295915722847,0.9783154385430473
14,0.0016939195338636637,0.00014291291466049318,0.015510066279343196,0.9813705682754517
15,0.0013372029809813415,0.00013085619970557412,0.01206346760903086,0.9830648388181414
16,0.001384411855334682,0.00012269468840843598,0.01261717134288379,0.9840553488050189
17,0.0014472178549372724,0.00011498958857763293,0.013322282316429275,0.9850667033876691
18,0.001211194903589785,0.00010671056224964559,0.01104484312236309,0.9859696711812701
19,0.001340647876661803,0.00011093319439428992,0.012297146554504122,0.9856055549212864
20,0.0013956140111466603,9.375943253482027e-05,0.01301854569464922,0.9879233751978193
21,0.0014731008725773012,9.131245522959424e-05,0.01381788362881967,0.9878684282302856
22,0.0014617721982566373,9.212760258898405e-05,0.013696445817393916,0.9881024701254708
23,0.001459170099613922,8.101970680789756e-05,0.013781503774225712,0.9893565773963928
24,0.0013387257682292589,7.390996948483266e-05,0.012648157642355986,0.9901953509875706
25,0.0014070342294871807,7.211205021511497e-05,0.013349221753222602,0.9905325600079128
26,0.001279420909538333,6.896325066918507e-05,0.012104576719658715,0.9909538115773883
27,0.0013547749757500632,7.539711909235589e-05,0.012793778175754207,0.9900585838726589
28,0.0012888578681408294,7.118709254427813e-05,0.01217670738697052,0.9907786590712411
29,0.0013296080453853523,6.897890749054827e-05,0.012606291100382805,0.9910705430167062
30,0.00133012659249029,5.978365464086112e-05,0.012703429508422102,0.9921776567186628
